epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.964,0.67642,3.65508,0.00282,0.57007,0.42585,0.47364,0.434,0.46328,2.24486,0.00246,0.000221587,0.000221587,0.000221587
2,777.785,0.66077,1.98796,0.00282,0.70124,0.65701,0.69674,0.63163,0.4787,1.61589,0.00263,0.000439526,0.000439526,0.000439526
3,968.86,0.64105,1.5206,0.00275,0.77058,0.72608,0.77313,0.70762,0.44733,1.3403,0.00247,0.000653062,0.000653062,0.000653062
4,1155.48,0.61635,1.32098,0.00261,0.79849,0.76949,0.8064,0.73796,0.44816,1.18151,0.00235,0.00064719,0.00064719,0.00064719
5,1360.47,0.60204,1.17018,0.00252,0.85771,0.75606,0.82359,0.753,0.44531,1.05575,0.0023,0.000640587,0.000640587,0.000640587
6,1569.8,0.58618,1.07945,0.00247,0.85374,0.78516,0.83522,0.76066,0.46134,0.97259,0.00253,0.000633983,0.000633983,0.000633983
7,1776.57,0.58325,1.02212,0.0025,0.87475,0.77959,0.83858,0.76886,0.44267,0.88445,0.0024,0.00062738,0.00062738,0.00062738
8,1977.25,0.56521,0.91909,0.00234,0.86832,0.79202,0.84122,0.78054,0.411,0.82781,0.00221,0.000620777,0.000620777,0.000620777
9,2177.45,0.54927,0.8796,0.00231,0.89139,0.77754,0.84111,0.78098,0.41072,0.76408,0.00217,0.000614174,0.000614174,0.000614174
10,2386.6,0.54548,0.82506,0.00233,0.87395,0.78993,0.84298,0.78161,0.40858,0.71386,0.00216,0.00060757,0.00060757,0.00060757
11,2632.6,0.55067,0.77839,0.00233,0.89068,0.80055,0.84606,0.78505,0.40575,0.67127,0.00216,0.000600967,0.000600967,0.000600967
12,2840.29,0.5384,0.74989,0.00222,0.89022,0.79904,0.84735,0.78358,0.4241,0.66641,0.00224,0.000594364,0.000594364,0.000594364
